Cache Size (KB),Block Size (B),Associativity,Num Sets,Instructions,References,Miss Rate,MPKI,Total,Cold,Capacity,Mapping,Replacement
32,8,1,4096,8916476,4065873,0.0086,3.9382,35115,11326,2160,13075,8554
32,16,1,2048,8916476,4065873,0.0107,4.8944,43641,6444,1132,19270,16795
32,32,1,1024,8916476,4065873,0.0178,8.1040,72259,3611,616,34652,33380
32,64,1,512,8916476,4065873,0.0307,13.9985,124817,2064,346,61631,60776
32,128,1,256,8916476,4065873,0.0513,23.3753,208425,1205,210,103854,103156
16,64,1,256,8916476,4065873,0.0353,16.0903,143469,2064,1350,70975,69080
32,64,1,512,8916476,4065873,0.0309,14.1014,125735,2066,346,62113,61210
64,64,1,1024,8916476,4065873,0.0006,0.2887,2574,2064,0,418,92
128,64,1,2048,8916476,4065873,0.0005,0.2486,2217,2064,0,134,19
64,64,1,1024,8916476,4065873,0.0006,0.2784,2482,2064,0,348,70
64,64,2,512,8916476,4065873,0.0006,0.2563,2285,2066,0,69,150
64,64,4,256,8916476,4065873,0.0005,0.2492,2222,2066,0,15,141
64,64,8,128,8916476,4065873,0.0005,0.2503,2232,2067,0,4,161
64,64,16,64,8916476,4065873,0.0005,0.2485,2216,2066,0,0,150
256,64,1,4096,8916476,4065873,0.0005,0.2380,2122,2064,0,50,8
